"","13001","13003","13005","13007","13009","13011","13013","13015","13017","13019","13021","13023","13025","13027","13029","13031","13033","13035","13037","13039","13043","13045","13047","13049","13051","13053","13055","13057","13059","13061","13063","13065","13067","13069","13071","13073","13075","13077","13079","13081","13083","13085","13087","13089","13091","13093","13095","13097","13099","13101","13103","13105","13107","13109","13111","13113","13115","13117","13119","13121","13123","13125","13127","13129","13131","13133","13135","13137","13139","13141","13143","13145","13147","13149","13151","13153","13155","13157","13159","13161","13163","13165","13167","13169","13171","13173","13175","13177","13179","13181","13183","13185","13187","13189","13191","13193","13195","13197","13199","13201","13205","13207","13209","13211","13213","13215","13217","13219","13221","13223","13225","13227","13229","13231","13233","13235","13237","13239","13241","13243","13245","13247","13249","13251","13253","13255","13257","13259","13261","13263","13265","13267","13269","13271","13273","13275","13277","13279","13281","13283","13285","13287","13289","13291","13293","13295","13297","13299","13301","13303","13305","13307","13309","13311","13313","13315","13317","13319","13321"
"13001",801,2,42,0,4,1,0,2,0,0,8,0,0,0,7,26,43,3,0,3,4,3,0,0,65,1,0,2,3,0,9,2,17,34,0,3,0,0,1,0,0,1,0,6,10,0,5,0,0,0,4,0,5,8,0,0,0,3,0,16,0,0,25,0,0,0,13,1,2,1,0,0,0,0,1,1,2,0,0,105,0,0,0,1,0,0,12,1,19,1,2,9,0,0,3,1,0,0,2,0,0,0,8,0,0,6,0,0,0,0,0,0,14,0,0,1,1,0,0,0,12,0,0,1,0,3,0,0,1,0,0,19,0,6,0,2,10,33,0,1,4,1,0,0,1,0,0,35,0,4,52,0,4,0,2,2,0,0,0
"13003",4,209,13,0,0,1,0,1,5,5,2,0,0,6,1,0,2,0,0,2,0,0,0,1,4,0,0,0,0,0,0,14,6,126,3,3,2,0,0,2,0,0,0,4,1,1,6,1,0,1,1,0,0,0,1,1,0,0,1,14,0,0,9,0,0,0,6,0,3,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,3,1,0,4,0,3,18,0,0,0,0,0,0,0,0,2,0,0,2,0,1,1,1,0,0,1,0,5,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,8,4,0,0,0,1,0,0,0,0,0,17,0,0,1,0,1,0,0,0,0,0,0
"13005",26,2,420,0,0,0,0,0,11,1,4,2,3,2,0,2,1,1,0,10,0,1,0,3,13,0,0,2,4,0,4,1,6,68,2,0,0,0,0,2,0,0,0,6,2,0,1,0,0,0,0,0,2,1,0,1,0,4,0,11,0,0,11,0,1,0,6,0,2,0,1,0,0,0,2,3,0,0,0,13,0,0,1,0,0,1,2,1,5,0,0,12,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,2,1,0,22,0,0,0,1,0,0,0,6,1,0,0,0,1,0,0,5,0,0,2,1,2,0,2,12,8,0,1,0,0,0,0,0,1,0,60,0,1,1,0,3,0,1,2,0,0,0
"13007",0,0,0,54,0,0,0,0,2,2,2,0,0,1,1,0,0,0,9,1,0,0,0,0,1,0,0,0,1,0,1,0,2,1,8,1,0,1,0,0,0,0,10,2,0,1,62,0,10,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,14,34,0,0,0,0,10,0,1,0,1,2,0,0,0,0,0,0,0,0,4,0,0,0,1,2,2,0,0,2,0,0,0,0,0,1,12,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1
"13009",2,0,1,0,1519,1,3,9,2,0,252,1,0,0,0,12,6,15,1,4,3,6,0,0,18,0,1,3,23,0,37,0,59,8,3,7,1,4,2,4,0,1,6,94,13,4,12,9,0,0,4,2,14,1,1,8,1,8,4,188,1,1,3,4,0,26,65,6,10,26,1,0,0,1,28,64,1,4,17,5,6,0,3,51,7,0,44,0,4,0,0,12,0,4,0,4,0,1,1,0,0,22,2,10,1,28,24,8,2,3,13,0,0,1,2,4,87,0,0,0,33,33,0,2,0,9,2,1,5,0,0,5,3,5,0,10,5,10,0,1,4,0,6,0,3,1,5,4,6,53,0,0,1,1,4,0,4,94,2
"13011",0,0,0,0,2,239,9,5,0,0,8,0,0,0,0,2,1,3,0,0,0,2,1,0,3,0,2,7,71,0,9,0,40,2,0,5,0,1,0,1,1,2,0,35,0,0,1,3,0,0,1,2,0,0,3,7,3,21,19,92,1,0,3,2,0,0,140,158,242,0,1,1,5,1,11,2,0,220,0,0,0,0,0,1,1,0,2,1,0,0,0,2,6,2,0,0,2,0,0,0,0,2,0,1,0,2,7,11,1,2,0,3,0,2,1,0,3,0,2,0,6,7,0,1,0,4,22,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,1,8,1,0,1,0,0,0,17,4,0,1,1,0
"13013",0,0,0,0,7,21,1211,26,1,0,24,0,0,0,0,5,2,5,0,1,0,16,3,0,20,1,1,27,464,0,60,0,247,2,2,6,1,6,1,1,0,19,2,449,0,0,8,19,0,0,2,1,2,0,4,20,16,173,3,645,1,0,3,4,0,11,1837,7,380,7,4,1,0,2,71,13,0,287,5,3,2,0,0,0,0,0,6,1,1,0,0,6,1,0,0,2,12,0,2,0,0,6,0,22,4,19,55,96,4,4,3,5,0,0,2,1,5,1,1,0,17,67,0,0,0,24,8,0,1,0,0,0,2,2,0,2,1,4,1,0,15,0,3,4,9,2,166,1,0,1,0,0,0,4,12,0,0,0,0
"13015",2,0,0,0,9,2,11,3002,0,0,35,1,0,0,0,6,1,4,0,4,0,84,4,0,21,0,4,355,37,0,115,0,1597,1,2,6,0,28,0,2,0,6,1,313,0,0,10,92,1,0,0,0,0,0,8,37,355,85,2,1081,10,0,1,339,0,5,336,3,59,0,10,2,3,1,40,18,0,7,1,0,1,0,0,8,1,0,7,1,3,0,0,5,3,4,0,2,1,0,3,0,0,5,2,1,24,26,22,8,0,121,3,36,0,3,83,2,1,0,0,0,23,26,0,0,0,23,3,0,11,1,0,0,2,0,0,5,3,2,0,0,33,1,2,3,2,12,15,2,0,3,0,0,0,3,134,0,0,3,0
"13017",3,4,4,0,1,0,1,0,675,6,6,0,1,4,0,5,1,1,0,2,1,1,0,1,8,1,0,1,5,0,6,3,9,55,5,0,4,2,1,16,0,0,2,13,7,1,30,5,1,0,0,0,3,1,0,3,1,0,1,27,1,0,3,1,2,0,17,1,2,0,0,0,0,0,2,6,66,2,0,9,0,0,0,1,0,1,5,2,1,0,0,39,0,0,0,1,0,0,0,0,2,3,3,1,0,5,2,0,0,0,0,0,4,0,0,4,0,0,0,0,7,0,0,1,0,2,0,0,4,0,0,0,0,9,0,8,77,6,0,1,1,9,0,0,1,0,0,8,0,4,2,0,1,2,1,17,0,2,2
