"","13001","13003","13005","13007","13009","13011","13013","13015","13017","13019","13021","13023","13025","13027","13029","13031","13033","13035","13037","13039","13043","13045","13047","13049","13051","13053","13055","13057","13059","13061","13063","13065","13067","13069","13071","13073","13075","13077","13079","13081","13083","13085","13087","13089","13091","13093","13095","13097","13099","13101","13103","13105","13107","13109","13111","13113","13115","13117","13119","13121","13123","13125","13127","13129","13131","13133","13135","13137","13139","13141","13143","13145","13147","13149","13151","13153","13155","13157","13159","13161","13163","13165","13167","13169","13171","13173","13175","13177","13179","13181","13183","13185","13187","13189","13191","13193","13195","13197","13199","13201","13205","13207","13209","13211","13213","13215","13217","13219","13221","13223","13225","13227","13229","13231","13233","13235","13237","13239","13241","13243","13245","13247","13249","13251","13253","13255","13257","13259","13261","13263","13265","13267","13269","13271","13273","13275","13277","13279","13281","13283","13285","13287","13289","13291","13293","13295","13297","13299","13301","13303","13305","13307","13309","13311","13313","13315","13317","13319","13321"
"13001",645,2,53,0,1,0,0,2,3,0,18,1,0,0,11,36,14,0,1,2,5,4,1,8,103,0,0,1,10,0,6,0,11,49,2,8,0,1,0,1,0,1,1,7,10,0,7,1,0,0,5,1,10,6,0,2,1,2,1,26,0,0,48,0,2,0,20,3,10,0,0,0,1,0,5,6,1,2,0,43,0,0,1,0,0,1,16,1,17,0,1,10,0,2,4,0,0,0,0,0,0,1,10,2,1,2,0,1,0,1,0,0,28,0,0,2,1,0,0,0,18,2,0,2,0,2,0,0,0,0,0,35,0,5,0,4,6,53,0,7,1,2,0,0,0,0,2,57,0,4,51,0,0,0,2,2,1,0,0
"13003",6,159,18,0,2,2,1,0,10,7,4,0,5,5,0,5,1,0,0,1,1,1,2,3,12,0,1,1,4,0,0,12,11,200,1,2,3,2,0,0,0,0,0,3,2,0,7,3,0,0,0,0,1,0,0,1,1,2,0,11,0,0,8,1,0,0,10,0,4,0,0,0,0,0,1,3,5,1,0,0,0,0,0,0,1,1,2,1,7,0,1,37,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,3,0,1,0,0,0,1,0,3,0,0,1,0,1,0,0,1,0,0,1,1,1,0,4,23,2,1,0,2,2,0,0,0,0,2,34,0,2,3,0,0,0,3,0,0,0,0
"13005",52,1,383,0,1,0,0,0,4,2,7,1,2,0,0,5,4,0,1,7,0,2,0,1,27,0,1,1,2,0,6,2,11,90,4,3,4,1,0,1,0,1,0,6,4,0,8,1,0,1,1,0,0,2,0,3,0,2,0,12,0,0,15,1,1,0,8,0,2,0,0,1,0,0,2,8,4,0,0,5,0,0,0,2,0,2,7,1,5,0,1,15,0,0,1,0,0,1,0,0,0,3,5,0,0,5,0,0,0,1,0,0,7,0,0,0,0,0,0,0,5,1,0,3,0,2,0,0,1,0,0,7,0,4,0,3,8,6,0,1,0,1,0,0,1,0,4,78,0,1,10,0,2,1,1,0,0,0,2
"13007",0,1,0,30,1,0,0,0,0,3,1,1,0,1,0,2,0,0,3,0,0,0,0,0,1,0,0,0,4,0,0,1,4,1,6,0,0,1,0,5,0,0,11,5,1,1,36,2,8,0,0,0,0,0,0,0,2,1,0,9,0,0,3,0,8,0,2,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,7,24,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,3,0,0,0,0,0,2,6,6,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1
"13009",6,0,2,0,1292,4,7,6,3,0,310,3,1,0,1,26,8,8,0,3,3,13,1,0,35,0,0,18,46,0,45,0,102,6,7,25,0,14,1,13,0,6,2,95,15,4,21,11,0,0,0,0,14,3,1,7,15,19,2,203,3,0,13,4,0,105,96,1,17,18,3,0,1,0,43,105,0,11,6,2,16,0,5,52,8,0,41,1,4,0,0,27,2,8,0,6,3,1,5,0,0,24,7,33,1,47,48,17,0,6,13,2,4,2,2,3,93,0,1,0,38,30,0,0,0,10,1,2,2,1,0,12,2,5,1,10,12,16,0,1,17,0,6,0,3,1,17,1,1,47,1,0,1,0,12,1,0,40,1
"13011",0,0,0,0,2,176,24,16,0,0,3,0,0,0,0,2,0,2,0,1,0,8,2,0,8,0,1,10,84,0,4,0,57,0,0,1,0,4,0,0,0,22,0,39,0,0,2,6,0,0,0,2,0,0,2,9,5,45,33,82,3,0,4,4,1,0,156,199,271,0,0,0,4,0,8,1,0,202,0,0,0,0,0,1,0,0,1,1,0,0,0,2,8,3,0,0,1,0,0,0,0,1,0,3,1,10,2,8,1,2,0,3,0,0,1,1,4,0,9,0,7,10,0,0,0,4,23,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,0,7,0,1,18,0,1,1,0,0,0,9,2,0,0,0,0
"13013",0,0,0,0,11,29,1446,28,3,0,41,1,0,1,1,12,0,2,0,1,1,36,5,0,36,1,3,61,599,0,98,0,328,1,3,10,0,28,0,3,1,35,1,438,1,0,6,30,1,0,1,3,2,0,1,40,12,206,4,761,1,0,7,5,2,8,2279,9,542,2,3,0,4,0,65,13,0,431,3,1,1,0,0,7,1,0,4,2,4,0,0,17,19,2,0,1,22,0,1,0,0,11,0,23,2,29,65,160,2,29,3,2,1,2,6,1,11,0,1,0,36,98,0,0,0,32,10,0,5,0,0,0,0,0,0,4,4,3,2,1,19,0,3,1,4,0,176,4,1,3,0,0,0,6,17,0,3,0,0
"13015",0,1,0,0,15,5,20,3266,1,0,56,2,0,0,1,22,0,6,0,4,1,143,14,0,35,0,11,550,66,0,135,0,1945,6,8,10,0,49,0,2,0,18,1,381,1,1,17,121,1,0,0,1,1,0,8,55,500,171,9,1217,11,0,11,509,3,0,453,11,84,0,21,2,1,0,95,14,1,18,0,0,2,0,0,6,2,0,6,2,3,0,0,9,11,4,0,2,1,0,3,0,0,8,1,4,12,76,15,14,0,170,1,23,0,1,87,0,3,0,1,0,21,57,0,0,0,19,5,0,8,0,0,0,1,0,0,8,7,6,0,0,30,0,9,6,3,9,17,0,0,1,0,0,0,6,103,1,0,2,1
"13017",2,16,6,0,1,2,1,0,500,7,25,1,1,2,1,6,1,1,0,4,1,2,0,2,13,1,0,3,7,0,6,2,18,85,19,2,6,5,1,22,0,1,1,17,6,2,34,3,0,0,0,0,0,0,0,3,1,2,0,37,0,0,4,2,4,0,15,1,2,0,0,0,0,0,4,12,59,2,0,16,0,0,0,1,0,3,4,2,1,0,0,70,0,1,0,2,0,1,0,0,6,2,1,0,0,18,2,3,0,3,3,0,1,0,0,3,0,0,0,1,4,1,0,0,0,1,0,0,12,0,0,1,0,10,1,20,122,1,0,0,1,15,0,0,4,1,2,16,0,1,3,0,2,0,4,13,0,0,2
"13019",7,22,5,0,2,0,0,3,35,449,13,1,0,10,3,13,0,1,0,5,0,0,0,1,12,0,1,7,8,0,4,10,14,39,36,2,46,1,1,20,1,0,6,15,7,1,31,1,1,0,1,0,2,1,0,4,2,1,0,36,0,0,8,3,1,0,13,0,6,0,0,0,0,0,4,8,11,0,0,5,1,0,0,2,0,14,8,8,0,0,0,321,1,0,1,2,0,2,1,0,10,3,1,1,0,10,2,0,0,1,0,0,1,0,0,2,0,0,0,0,7,2,0,0,0,2,0,0,9,0,0,1,0,5,4,21,185,2,0,1,3,9,0,0,0,1,1,12,0,3,1,0,0,1,3,1,0,0,6
"13021",6,3,1,0,158,10,27,41,5,0,7568,7,0,4,3,52,2,23,0,13,1,43,7,1,172,2,3,60,123,0,164,2,346,33,11,62,0,67,13,22,0,13,4,396,16,9,110,58,3,0,7,3,6,4,2,87,28,56,4,779,5,0,33,8,4,10,329,10,81,1,4,2,2,1,188,1016,1,27,12,6,3,0,6,90,10,4,84,9,18,0,1,92,4,9,1,13,0,2,8,1,1,284,2,12,0,157,52,20,0,30,242,2,5,9,7,22,13,0,8,1,144,68,0,1,0,81,8,2,26,0,0,3,1,2,0,27,22,16,0,2,42,1,115,5,22,5,34,18,3,14,2,0,0,8,30,3,6,30,4
